BASE_YEAR,ADM_DR_CD,ADM_DR_NM,cctv_area,cctv_idx,금융업소갯,숙박업소갯,유흥업소갯,max뉴연번,grade1_cri,maxX,maxY,count,NUMPOINT,금융밀도,숙박밀도,유흥밀도,grade2_env,val_200,val_13,val_29,val_19,val_16,val_39,sum_women,w1,가중치_w1(w1*3),.75 이상이면 1.095 이하면 1,w1_women,count_1
2018,1115051,목1동,193887,8.061,11,3,103,13599,4,126.88553,37.53099,1447,117,0.16949,0.04622,1.58706,9.01387,2798,155,126,52,77,192,602,0.25341,0.76023,1.095,1.095,179
2018,1115052,목2동,531772,4.682,3,2,23,13600,4,126.88352,37.54738,709,28,0.04622,0.03082,0.35439,2.15716,1270,39,85,31,40,81,221,0.3956,1.1868,1.095,1.095,133
2018,1115053,목3동,329554,6.704,3,1,40,13604,4,126.86929,37.55078,752,44,0.04622,0.01541,0.61633,3.38983,882,22,65,14,12,145,221,0.4,1.2,1.095,1.095,80
2018,1115054,목4동,377440,6.226,2,0,30,13607,4,126.87218,37.53955,735,32,0.03082,0,0.46225,2.46533,1270,50,93,33,40,56,237,0.34247,1.02741,1.095,1.095,82
2018,1115057,신월1동,349643,6.504,2,1,46,13601,4,126.83993,37.53658,1176,49,0.03082,0.01541,0.70878,3.77504,658,14,38,11,10,45,93,0.28497,0.85491,1.095,1.095,88
2018,1115058,신월2동,325341,6.747,0,0,14,13595,4,126.85164,37.52744,499,14,0,0,0.21572,1.07858,1034,26,56,12,14,89,171,0.43697,1.31091,1.095,1.095,87
2018,1115059,신월3동,347641,6.524,3,0,10,13587,4,126.83361,37.5406,795,13,0.04622,0,0.15408,1.00154,628,17,37,11,9,47,101,0.28497,0.85491,1.095,1.095,128
2018,1115060,신월4동,248041,7.52,2,1,30,13598,4,126.84408,37.52612,478,33,0.03082,0.01541,0.46225,2.54237,971,35,62,16,17,60,172,0.2,0.6,1,1.095,66
2018,1115061,신월5동,276065,7.239,1,2,20,13578,4,126.83503,37.54461,479,23,0.01541,0.03082,0.30817,1.77196,616,25,42,11,13,40,114,0.22872,0.68616,1,1.095,88
2018,1115062,신월6동,171585,8.284,4,0,10,13211,4,126.84754,37.51969,223,14,0.06163,0,0.15408,1.07858,1090,43,79,35,32,57,231,0.22439,0.67317,1,1.095,69
2018,1115063,신월7동,351621,6.484,1,0,22,13606,4,126.83888,37.5247,646,23,0.01541,0,0.33898,1.77196,1004,25,56,14,11,81,176,0.22111,0.66333,1,1.095,158
2018,1115064,신정1동,182897,8.171,5,1,42,13582,4,126.86513,37.52194,593,48,0.07704,0.01541,0.64715,3.698,1024,59,74,32,33,54,207,0.27465,0.82395,1.095,1.095,100
2018,1115065,신정2동,210325,7.897,3,0,20,13518,4,126.8781,37.52293,462,23,0.04622,0,0.30817,1.77196,1143,50,76,33,30,58,207,0.24903,0.74709,1,1.095,75
2018,1115066,신정3동,636517,3.635,5,1,20,13605,4,126.85608,37.52224,987,26,0.07704,0.01541,0.30817,2.00308,1443,54,103,35,29,196,280,0.43697,1.31091,1.095,1.095,337
2018,1115069,신정6동,132205,8.678,10,1,3,13563,4,126.87593,37.52293,388,14,0.15408,0.01541,0.04622,1.07858,1092,52,98,28,31,73,245,0.24757,0.74271,1,1.095,142
2018,1115070,신정7동,259560,7.404,9,0,14,13589,4,126.87161,37.51631,639,23,0.13867,0,0.21572,1.77196,1104,45,86,35,31,57,201,0.26031,0.78093,1.095,1.095,161
2018,1115071,목5동,220338,7.797,12,1,11,13560,4,126.88713,37.54403,833,24,0.1849,0.01541,0.16949,1.849,1131,50,69,47,42,68,222,0.5,1.5,1.095,1.095,219
2018,1115072,신정4동,621092,3.789,6,4,91,13597,4,126.86494,37.52937,1765,101,0.09245,0.06163,1.40216,7.7812,786,21,56,14,16,69,133,0.43697,1.31091,1.095,1.095,127
